automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,final_phase,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,max_xte_after_passing,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,recovery_time,resolution_time,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,t_clear,t_cpa,t_on_track,t_warning,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,unresolved,xte_final,xte_mean
none,none,386,0.14936454087674064,unknown,,0.0,386,10.0,1,0,safe_passage,38.41,33998.49093334938,clear,-1,none,183,49.79135122730751,3.551078736333993,0.18043704091554877,0,576.4978022571075,7.993824683945668,199,102.91520664763976,2062.3639760324986,30856.16328003028,30579.850263378034,2570.0,1290.0,33633.20149084063,0.2532467532467532,0.727979274611399,data,,,,,,,386,0,0,0,1,1290.0,-1,3860.0,-1,0,2.827487299251865,navigate,resolved_on_track,0.0818181818181818,71.81620893944479,0,82.38559298651603,298.3965134293118
manual,manual,398,2.1072953766503586,both_give_way,6.236836256201391,0.0,398,10.0,0,1,close_quarters,59.23,38282.99320122998,clear,4,crossing_port,48,40.07788034136007,5.1661642161718415,0.6154158450736315,1,533.5992784623575,6.860133988393374,135,10.142022832389545,588.281810336273,27303.333273805627,26751.282824144717,2580.0,1360.0,33624.386688392755,0.1977329974811083,0.7374371859296482,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,398,63,0,0,1,1400.0,830.0,3980.0,40.0,1,5.4915660267074795,navigate,resolved_on_track,0.07758186397984886,4.203634865052258,0,82.27127065722988,276.16306295811626
manual,manual,325,0.19552081438796448,both_give_way,38.380814933101405,0.0,325,10.0,1,1,close_quarters,47.68,26322.973142489296,clear,37,crossing_port,182,34.88438527784537,7.121315208778111,0.02290726034979441,1,1235.804130390509,7.458281029178903,71,27.580934661279112,4687.740942853755,24239.413344831435,23118.09549500205,1790.0,1090.0,33658.28710995538,0.3317901234567901,0.7338461538461538,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,325,11,0,0,1,1460.0,1170.0,3250.0,370.0,0,6.621146853791457,navigate,resolved_on_track,0.10802469135802469,25.137652743787967,0,70.62215509021537,461.76529856592555
manual,manual,210,0.09806214402167371,give_way,13.798857291607595,0.0,210,10.0,0,1,close_quarters,51.92,15833.486381419245,clear,5,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.2406265868390129,1,260.82804491668816,8.61809817831038,135,2.704141417580517,1718.0937305087812,18098.0061744518,17927.828659902,680.0,1370.0,33624.386688392755,0.4904306220095694,0.7714285714285715,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,210,44,0,0,1,1420.0,840.0,2100.0,50.0,1,5.4915660267074795,navigate,resolved_on_track,0.22105263157894736,37.58959234559574,0,68.3510012775504,194.85431305845225
manual,manual,244,0.048088306532281425,give_way,,0.0,244,10.0,1,0,safe_passage,34.09,12614.180374854148,clear,-1,none,182,34.88438527784537,7.121315208778111,0.05255807358814615,0,480.2623580120469,9.409605411880287,71,156.26990681853778,3590.7512850066,22959.437204987902,22657.13629886352,810.0,1630.0,33658.28710995538,0.41975308641975306,0.6331967213114754,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,244,0,0,0,1,1630.0,-1,2440.0,-1,0,6.621146853791457,navigate,resolved_on_track,0.19588477366255144,60.6619080980026,0,99.70189534243251,387.4129280719263
manual,manual,-1,7.81953132667636,stand_on,9.050424488097432,0.0,59,10.0,0,2,domain_infringement,71.03,587.1337854258015,action,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.5392173648351983,2,0.0,6.990050832923861,135,43.50016010446772,587.1337854258015,4124.129991425078,4046.8418414825314,-1,-1,33624.386688392755,0.43103448275862066,0.9830508474576272,crossing_port,-60.251874068072,-0.2527646797428006,54.29551728410556,2.5992293478995268,17.13347722920078,-20.173993726711917,59,59,1,0,0,-1,-1,-1,0.0,1,5.4915660267074795,navigate,domain_violation,0.08448275862068964,-85.96909494242075,0,132.90209603469577,231.09740543343258
manual,manual,315,0.17130948818016806,stand_on,29.87102981581029,0.0,315,10.0,1,1,close_quarters,46.42,21505.78348907607,clear,43,crossing_port,182,34.88438527784537,7.121315208778111,0.12058311660538937,1,367.435816469306,7.604178594733525,71,90.18945406384258,2541.1781659084577,23953.162573410602,23187.142174313733,1450.0,1270.0,33658.28710995538,0.22452229299363058,0.7428571428571429,crossing_port,-113.67685921509747,-0.2972222140029685,29.21292869368978,8.422560229739513,23.48596576538746,-78.79247393725211,315,8,0,0,1,1700.0,1240.0,3150.0,430.0,0,6.621146853791457,navigate,resolved_on_track,0.07802547770700635,52.92825630810637,0,42.568609225115054,334.15327847711205
manual,manual,213,0.18152067149562753,give_way,27.906249096446576,0.0,213,10.0,0,1,close_quarters,51.6,6237.915648674959,clear,2,overtaking,48,40.07788034136007,8.928356092645075,0.23460503767721444,1,114.1180183988611,9.24774566093047,135,10.015888676126416,1580.6122874936082,19697.6982577819,19585.062604878614,170.0,1940.0,33624.386688392755,0.4740566037735849,0.6901408450704225,overtaking,14.874062965964004,-0.2527646797428006,-17.294024807300552,2.390271168731141,13.849013598640674,54.951943307324086,213,24,0,0,1,1960.0,980.0,2130.0,20.0,1,4.451103264139253,navigate,resolved_on_track,0.1849056603773585,68.1478030975237,0,114.1180183988611,82.74523555251565
manual,manual,268,0.025711821765321476,give_way,1.239108403064096,0.0,268,10.0,1,1,close_quarters,50.64,5529.690261650471,clear,29,overtaking,182,34.88438527784537,9.76627794661919,0.16520648339742708,1,103.34126970959183,9.088073855719308,71,4.551756365508085,1981.6649244420964,24356.03793332775,24172.14978643285,170.0,2220.0,33658.28710995538,0.4737827715355805,0.7052238805970149,overtaking,-11.838429607548731,-0.2972222140029685,6.61619030528383,3.0497662404866,19.354503663335798,23.045955670296635,268,1,0,0,1,2510.0,1320.0,2680.0,290.0,0,5.277715585999893,navigate,resolved_on_track,0.2058052434456929,96.27731941755862,0,7.105539052260232,105.39725356044978
manual,manual,224,0.06306563886851109,stand_on,11.672588193680378,0.0,224,10.0,0,1,close_quarters,48.62,5777.985192879782,clear,0,overtaken,48,40.07788034136007,3.6189040617633834,0.16674390551745108,1,136.97369066850658,8.037282573141907,135,52.71130652880655,1852.3585934439957,18003.51296383787,17975.059186520422,170.0,2070.0,33624.386688392755,0.452914798206278,0.6808035714285714,overtaken,14.874062965964004,-0.2527646797428006,-131.75363534859173,1.201816410216403,13.849013598640674,54.951943307324086,224,5,0,0,1,2070.0,270.0,2240.0,0.0,0,6.259575861348708,navigate,resolved_on_track,0.16165919282511212,87.44489945885088,0,5.088725169861036,39.404992134062205
manual,manual,213,0.004074709508813612,stand_on,,0.0,213,10.0,1,0,safe_passage,39.68,4957.393741261962,clear,-1,none,182,34.88438527784537,4.17751863107946,0.07926267316665328,0,176.55556099639153,8.37192326701302,71,35.07264797024524,3080.539003630728,17832.196558737734,17703.851307202494,170.0,1960.0,33658.28710995538,0.7193396226415094,0.6924882629107981,overtaken,-11.838429607548731,-0.2972222140029685,161.19500202861929,2.0322114198702517,19.354503663335798,23.045955670296635,213,0,0,0,1,1960.0,-1,2130.0,-1,0,7.74884998598837,navigate,resolved_on_track,0.1601415094339623,60.91012233185779,0,134.2854147169653,294.3857542593856
manual,manual,412,0.3955558068395703,stand_on,-0.5486458898620286,0.0,412,10.0,0,1,close_quarters,24.67,39275.127281290916,clear,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.4567064501363473,1,650.3605904488747,7.732014454133541,135,715.4932368057416,904.9868307668606,31855.89955103019,31375.116674235025,2900.0,1220.0,33624.386688392755,0.21046228710462286,0.7293689320388349,data,,,,,,,412,23,0,0,1,1220.0,660.0,4120.0,0.0,1,3.678797507411181,navigate,resolved_on_track,0.0510948905109489,48.6848537806335,0,150.4710201846924,306.33283638531555
manual,manual,386,0.14936454087674064,unknown,,0.0,386,10.0,1,0,safe_passage,38.41,33998.49093334938,clear,-1,none,183,49.79135122730751,3.551078736333993,0.18043704091554877,0,576.4978022571075,7.993824683945668,199,102.91520664763976,2062.3639760324986,30856.16328003028,30579.850263378034,2570.0,1290.0,33633.20149084063,0.2532467532467532,0.727979274611399,data,,,,,,,386,0,0,0,1,1290.0,-1,3860.0,-1,0,2.827487299251865,navigate,resolved_on_track,0.0818181818181818,71.81620893944479,0,82.38559298651603,298.3965134293118
assisted,assisted,389,3.5500293966050096,both_give_way,2.0401862974522147,0.0,389,10.0,0,1,close_quarters,61.33,37908.11707013652,clear,4,crossing_port,48,40.07788034136007,5.1661642161718415,0.6544304342522911,1,547.9004177842862,7.05849623885807,135,8.64974484953474,491.500941192641,27457.550369157892,26911.634203170164,2500.0,1350.0,33624.386688392755,0.20489690721649484,0.7377892030848329,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,389,49,0,0,1,1390.0,820.0,3890.0,40.0,2,5.4915660267074795,navigate,resolved_on_track,0.08118556701030927,20.859752526079262,0,38.4294272237705,271.73093231141536
assisted,assisted,328,0.07278612070858799,both_give_way,38.05809261149262,0.0,328,10.0,1,1,close_quarters,45.52,26068.152098490773,clear,37,crossing_port,182,34.88438527784537,7.121315208778111,0.02098694562877463,1,1236.8625711374252,7.30547375169821,71,74.2144892170493,4768.756306885014,23961.953905570128,22800.64990259132,1770.0,1140.0,33658.28710995538,0.31345565749235477,0.7347560975609756,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,328,9,0,0,1,1510.0,1210.0,3280.0,370.0,1,6.621146853791457,navigate,resolved_on_track,0.10703363914373089,24.859992354090892,0,95.8033067028122,466.15605275379505
assisted,assisted,206,0.22498644313445765,give_way,7.2397834666726,0.0,206,10.0,0,1,close_quarters,50.79,15899.453215846464,clear,5,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.26115311330703694,1,250.29095959297692,8.927102662169005,135,38.98422467159227,1611.2983229571664,18389.831484068152,18202.008581973165,660.0,1350.0,33624.386688392755,0.4658536585365854,0.7694174757281553,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,206,29,0,0,1,1400.0,850.0,2060.0,50.0,1,5.4915660267074795,navigate,resolved_on_track,0.19804878048780486,55.39072776300812,0,24.236797001997246,182.06794709402115
