automation,automation_level,capture_step,closing_speed_at_min,colreg_role,course_change_after_warning_deg,dest_range_final,destination_step,dt,episode,event_grade,event_grade_name,event_score,final_distance,first_encounter_step,first_encounter_type,guide_sample,init_heading_deg,init_speed,max_cri,max_severity,mean_speed,merge_sample,min_dcpa,min_distance,own_path_len,progress,route_length,rudder_change_mean,rudder_mean_abs,scenario,scn_course_diff_deg,scn_dcpa_offset_nm,scn_initial_bearing_deg,scn_initial_range_nm,scn_t_meet_min,scn_target_course_deg,steps,steps_sev1,steps_sev2,steps_sev3,success,target_evasions,target_speed,task,termination,throttle_change_mean,total_reward,xte_mean
none,none,-1,0.13604716588283736,stand_on,,5653.05340973603,64,10.0,2,0,safe_passage,40.49,3074.7415784612963,-1,none,13,54.052187704899,4.193644733408237,0.08506714944733855,0,7.873752767190233,195,21.457053450362054,2986.1905596641313,5039.201771001749,1669.2125671307235,5856.995727617903,0.007936507936507936,0.2578125,overtaken,-8.80968265843409,-0.13317516015479083,166.08362107642154,2.672129488407625,17.755432372206858,45.24250504646489,64,0,0,0,0,0,8.191288319260318,attack,passed,0.0,-10.830073685434675,1442.8815394184332
none,none,69,10.248147102882388,stand_on,28.724582053109838,2064.5329797059553,69,10.0,0,2,domain_infringement,75.0,810.6188349125713,0,crossing_port,48,40.07788034136007,5.1661642161718415,0.5307419023627635,2,5.740599689002794,135,6.789342240877636,810.6188349125713,3961.013785411928,3883.322059365992,5824.386688392792,0.04411764705882353,0.4927536231884058,data,,,,,,,69,60,2,0,1,0,3.678797507411181,attack,domain_violation,0.030882352941176465,134.51744445118814,246.11719570462435
none,none,-1,0.2542891494787682,give_way,10.97199580166207,3677.412073520225,152,10.0,1,1,close_quarters,53.96,2127.1657332225086,32,crossing_starboard,183,49.79135122730751,3.551078736333993,0.3941950086876703,1,3.4683992361646503,199,12.44064847481046,1146.257576487193,5271.966838970268,3839.3808723089446,5833.201490840715,0.0033112582781456954,0.1118421052631579,data,,,,,,,152,16,0,0,0,0,2.827487299251865,attack,passed,0.0,39.98223014369039,1224.9003476589512
none,none,-1,0.21340250631956223,unknown,,1514.174192377359,79,10.0,2,0,safe_passage,2.67,2270.3276187568067,-1,none,182,34.88438527784537,7.121315208778111,0.16382072227083844,0,9.846872112449118,71,2224.7621066355346,2237.6529560554945,7779.028968834803,5858.287109955366,5858.287109955366,0.01282051282051282,0.31645569620253167,data,,,,,,,79,0,0,0,0,0,4.184390961471112,attack,passed,0.0,59.066446145887284,627.0435956743083
manual,manual,-1,1.3302544808343328,both_give_way,8.673943906451635,1055.3570847097749,105,10.0,0,1,close_quarters,36.66,2347.6502971023897,8,head_on,48,40.07788034136007,5.1661642161718415,0.3795025898518684,1,6.670855143712825,135,432.9147792633352,1172.2971251531123,7004.397900898466,5824.386688392792,5824.386688392792,0.0625,0.4714285714285714,head_on,185.9496251863856,-0.2527646797428006,0.3021429610823076,5.5752296838315285,17.13347722920078,-133.97249447225437,105,8,0,0,0,0,5.4915660267074795,attack,passed,0.04374999999999999,67.24461444963104,242.57358892680162
manual,manual,-1,0.37776039255504656,both_give_way,,5615.775859206427,146,10.0,1,0,safe_passage,31.13,2080.76489757188,-1,none,182,34.88438527784537,7.121315208778111,0.24204675800667996,0,7.9853083150425785,71,298.1582970984874,1761.2242076369266,11658.550139962164,5858.287109955366,5858.287109955366,0.1206896551724138,0.6917808219178082,head_on,175.2646281569805,-0.2972222140029685,-3.889730897769942,10.238701763623594,23.48596576538746,-149.8509865651741,146,0,0,0,0,0,6.621146853791457,attack,passed,0.06758620689655172,154.2635286970292,1458.1847531233075
manual,manual,-1,0.6330770688073244,both_give_way,,5928.494564232219,121,10.0,2,0,safe_passage,32.33,3535.718794498194,-1,none,13,54.052187704899,7.17775656692883,0.06667375859699165,0,9.677838377312588,195,215.25521400207433,3354.7582690972245,11710.18443654823,5856.995727617903,5856.995727617903,0.020833333333333332,0.13636363636363635,head_on,176.47612693662637,-0.13317516015479083,-2.596993480134381,10.904120049463163,21.64088350639253,-129.47168535847462,121,0,0,0,0,0,7.789725271631234,attack,passed,0.014583333333333334,143.95775806921344,1746.3308126212487
manual,manual,-1,0.1643975249324967,give_way,-13.90856854046696,2222.3370135502096,102,10.0,0,1,close_quarters,53.6,2075.8691522662307,4,crossing_starboard,48,40.07788034136007,5.1661642161718415,0.4125127463846966,1,7.533027449447277,135,25.226430714564145,1060.1795615601452,7683.687998436223,5824.386688392792,5824.386688392792,0.06435643564356436,0.6470588235294118,crossing_starboard,119.74812593192802,-0.2527646797428006,-31.807013016470236,4.963766783962342,17.13347722920078,159.82600627328807,102,22,0,0,0,1,5.4915660267074795,attack,passed,0.02772277227722772,59.00934943105299,1473.6125736941458
manual,manual,-1,0.21823629908649309,give_way,-74.72456893869895,6263.398026229383,95,10.0,1,1,close_quarters,48.03,4747.860527831406,14,crossing_starboard,182,34.88438527784537,7.121315208778111,0.02171185294565161,1,7.880756322723206,71,19.545143673885274,4647.343130132002,7486.718506587046,3251.1637923602007,5858.287109955366,0.047872340425531915,0.8842105263157894,crossing_starboard,66.32314078490253,-0.2972222140029685,-53.46798236124444,5.855616899449101,23.48596576538746,101.20752606274792,95,1,0,0,0,0,6.621146853791457,attack,passed,0.02234042553191489,34.50274599294571,2668.5572317983047
manual,manual,-1,0.09635683480255466,give_way,-62.09241462401324,4013.2101603860187,105,10.0,2,1,close_quarters,51.17,2163.861494383762,14,crossing_starboard,13,54.052187704899,7.17775656692883,0.19400270020584565,1,8.354433487615834,195,4.0144953644387344,1975.6424636978065,8772.155161996627,5856.995727617903,5856.995727617903,0.11057692307692307,0.8285714285714286,crossing_starboard,72.38063468313182,-0.13317516015479083,-60.39729842407342,6.58947728002596,21.64088350639253,126.43282238803081,105,7,0,0,0,0,7.789725271631234,attack,passed,0.06057692307692307,90.43938451758144,2272.7756966618504
